timestamp,rainfall_mm,grid_lat,grid_lon
2024-12-09,0.0,27.25,88.5
2024-12-10,0.0,27.25,88.5
2024-12-11,0.0,27.25,88.5
2024-12-12,0.0,27.25,88.5
2024-12-13,0.0,27.25,88.5
2024-12-14,0.0,27.25,88.5
2024-12-15,0.0,27.25,88.5
2024-12-16,0.0,27.25,88.5
2024-12-17,0.0,27.25,88.5
2024-12-18,0.0,27.25,88.5
2024-12-19,0.0,27.25,88.5
2024-12-20,0.0,27.25,88.5
2024-12-21,0.0,27.25,88.5
2024-12-22,8.634487,27.25,88.5
2024-12-23,0.0,27.25,88.5
2024-12-24,0.0,27.25,88.5
2024-12-25,0.0,27.25,88.5
2024-12-26,0.0,27.25,88.5
2024-12-27,0.0,27.25,88.5
2024-12-28,0.0,27.25,88.5
2024-12-29,0.0,27.25,88.5
2024-12-30,0.0,27.25,88.5
2024-12-31,0.0,27.25,88.5
